,HAPPY,YEAR,AGE,WORKLIFE,MEDITATE,PERHRH,TWITTER,INSTAGRM,SATJOB1,NUMPETS,DOG,CAT,HLPNEEDY,VISZOO,VISTHOLY
606,2,1972,50,,,,,,,,,,,,
607,1,1972,37,,,,,,,,,,,,
608,3,1972,76,,,,,,,,,,,,
609,2,1972,41,,,,,,,,,,,,
610,2,1972,24,,,,,,,,,,,,
611,2,1972,33,,,,,,,,,,,,
612,1,1972,49,,,,,,,,,,,,
613,1,1972,22,,,,,,,,,,,,
614,2,1972,67,,,,,,,,,,,,
615,1,1972,74,,,,,,,,,,,,
616,2,1972,37,,,,,,,,,,,,
617,1,1972,45,,,,,,,,,,,,
618,2,1972,59,,,,,,,,,,,,
619,2,1972,65,,,,,,,,,,,,
620,2,1972,67,,,,,,,,,,,,
621,3,1972,66,,,,,,,,,,,,
622,2,1972,28,,,,,,,,,,,,
623,1,1972,37,,,,,,,,,,,,
624,3,1972,72,,,,,,,,,,,,
625,1,1972,22,,,,,,,,,,,,
626,2,1972,60,,,,,,,,,,,,
627,2,1972,60,,,,,,,,,,,,
628,2,1972,35,,,,,,,,,,,,
629,3,1972,60,,,,,,,,,,,,
630,2,1972,79,,,,,,,,,,,,
631,3,1972,45,,,,,,,,,,,,
632,2,1972,65,,,,,,,,,,,,
633,3,1972,45,,,,,,,,,,,,
634,2,1972,65,,,,,,,,,,,,
635,2,1972,22,,,,,,,,,,,,
636,2,1972,60,,,,,,,,,,,,
637,2,1972,38,,,,,,,,,,,,
638,2,1972,29,,,,,,,,,,,,
